path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
GK_xum02/xqd/5-MVB/3-PbTe/0-model/3-opt	2			50	0.50	33303	Pb Te	150 150
GK_xum02/xqd/5-MVB/3-PbTe/0-model/4-scf	-1			0	0.50	33303	Pb Te	150 150
GK_xum02/xqd/5-MVB/3-PbTe/0-model/5-MD	0	0	0	3000	3.00	77508	Pb Te	150 150
GK_xum02/xqd/5-MVB/3-PbTe/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Pb Te	150 150
GK_xum02/xqd/5-MVB/3-PbTe/0-model/6-born						33303	Pb Te	150 150
GK_xum02/xqd/5-MVB/4-SnS/0-model/3-opt	2			50	0.50	33303	Sn S	150 150
GK_xum02/xqd/5-MVB/4-SnS/0-model/4-scf	-1			0	0.50	33303	Sn S	150 150
GK_xum02/xqd/5-MVB/4-SnS/0-model/5-MD	0	0	0	2500	3.00	77508	Sn S	150 150
GK_xum02/xqd/5-MVB/4-SnS/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Sn S	150 150
GK_xum02/xqd/5-MVB/4-SnS/0-model/6-born						33303	Sn S	150 150
GK_xum02/xqd/5-MVB/5-SnSe/0-model/3-opt	2			50	0.50	0	Sn Se	150 150
GK_xum02/xqd/5-MVB/5-SnSe/0-model/4-scf	-1			0	0.50	33303	Sn Se	150 150
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD	0	0	0	2500	3.00	77508	Sn Se	150 150
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Sn Se	150 150
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/component/1	0	0	0	500	3.00	77508	Sn Se	140 160
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/component/2	0	0	0	500	3.00	77508	Sn Se	130 170
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/component/3	0	0	0	500	3.00	77508	Sn Se	160 140
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/component/4	0	0	0	500	3.00	77508	Sn Se	170 130
GK_xum02/xqd/5-MVB/5-SnSe/0-model/5-MD/component/5	0	0	0	500	3.00	77508	Sn Se	155 145
GK_xum02/xqd/5-MVB/5-SnSe/0-model/6-born						33303	Sn Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe	0	0	0	500	3.00	0		
GK_xum02/xqd/5-MVB/2-PbSe/1-model/1-2000K/1	0	2000.0	2000.0	2000	3.00	77508	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/1-model/1-2000K/1/continue	0	2000.0	2000.0	1500	3.00	77508	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/1-model/5-MD	0	0	0	1000	3.00	77508	Pb Se	150 150
